0.0,10.0,0.0
1.3,20.0,0.0
2.5,20.0,0.0
3.8,20.0,0.0
5.0,20.0,0.0
6.3,20.0,0.1
7.5,20.0,0.1
8.8,20.0,0.1
10.0,20.0,0.1
11.3,20.0,0.1
12.5,20.0,0.1
14.0,20.3,0.1
15.5,20.5,0.1
17.0,20.8,0.1
18.5,21.0,0.1
20.0,21.3,0.1
21.5,21.5,0.2
23.0,21.8,0.2
24.5,22.0,0.2
26.0,22.3,0.2
27.5,22.5,0.2
29.0,22.8,0.2
30.5,23.0,0.2
32.0,23.3,0.2
33.5,23.5,0.2
35.0,23.8,0.3
36.5,24.0,0.3
38.0,24.3,0.3
39.5,24.5,0.3
41.0,24.8,0.3
42.5,25.0,0.3
44.0,25.3,0.3
45.5,25.5,0.3
47.0,25.8,0.3
48.5,26.0,0.3
50.0,26.3,0.4
51.5,26.5,0.4
53.0,26.8,0.4
54.5,27.0,0.4
56.0,27.3,0.4
57.5,27.5,0.4
59.0,27.8,0.4
60.5,28.0,0.4
62.0,28.3,0.4
63.5,28.5,0.4
65.0,28.8,0.5
66.5,29.0,0.5
68.0,29.3,0.5
69.5,29.5,0.5
71.0,29.8,0.5
72.5,30.0,0.5
73.5,30.0,0.5
74.4,29.9,0.5
75.4,29.9,0.5
76.4,29.9,0.5
77.3,29.9,0.6
78.3,29.8,0.6
79.2,29.8,0.6
80.2,29.8,0.6
81.2,29.7,0.6
82.1,29.7,0.6
83.3,29.7,0.6
84.5,29.7,0.6
85.7,29.7,0.6
86.9,29.7,0.6
88.1,29.7,0.7
89.4,29.7,0.7
90.6,29.7,0.7
91.8,29.7,0.7
93.0,29.7,0.7
94.2,29.7,0.7
95.6,29.9,0.7
97.1,30.1,0.7
98.5,30.4,0.7
100.0,30.6,0.7
101.4,30.9,0.8
101.4,31.1,0.8
101.3,31.4,0.8
101.3,31.6,0.8
101.2,31.9,0.8
101.2,32.1,0.8
101.1,32.1,0.8
101.1,32.0,0.8
101.0,32.0,0.8
101.0,32.0,0.8
100.9,31.9,0.8
100.9,31.9,0.9
100.8,31.9,0.9
100.8,31.8,0.9
100.7,31.8,0.9
100.7,31.8,0.9
100.6,31.8,0.9
100.6,31.8,0.9
100.5,31.8,0.9
100.5,31.8,0.9
100.4,31.8,1.0
100.4,31.8,1.0
100.3,31.7,1.0
100.3,31.7,1.0
100.2,31.7,1.0
100.2,31.7,1.0
100.1,32.0,1.0
100.1,32.2,1.0
100.0,32.5,1.0
100.0,32.7,1.0
101.4,32.9,1.1
101.4,33.2,1.1
101.3,33.4,1.1
101.3,33.7,1.1
101.2,33.9,1.1
101.2,34.2,1.1
101.1,34.1,1.1
101.1,34.1,1.1
101.0,34.1,1.1
101.0,34.0,1.1
100.9,34.0,1.2
100.9,34.0,1.2
100.8,33.9,1.2
100.8,33.9,1.2
100.7,33.9,1.2
100.7,33.8,1.2
100.6,33.8,1.2
100.6,33.8,1.2
100.5,33.7,1.2
100.5,33.7,1.2
100.4,33.7,1.3
100.4,33.7,1.3
100.3,33.6,1.3
100.3,33.6,1.3
100.2,33.6,1.3
100.2,33.5,1.3
100.1,33.5,1.3
100.1,33.5,1.3
100.0,33.5,1.3
100.0,33.5,1.3
101.1,33.5,1.4
101.1,33.5,1.4
101.0,33.5,1.4
101.0,33.5,1.4
100.9,33.5,1.4
100.9,33.5,1.4
